date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:50	161/161	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:49%20GMT	http://mediaget.com/images/newsAndBlog/fbIcon.png	D:/2/mediaget.com/images/newsAndBlog/fbIcon.png	(from http://mediaget.com/css/style.css?1430927629)
16:44:50	161/161	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:49%20GMT	http://mediaget.com/images/newsAndBlog/fbIconColor.png	D:/2/mediaget.com/images/newsAndBlog/fbIconColor.png	(from http://mediaget.com/css/style.css?1430927629)
16:44:50	195111/195111	---M--	200	added ('OK')	image/png	etag:%225432cb76-2fa27%22	http://mediaget.com/images/android/android2.png	D:/2/mediaget.com/images/android/android2.png	(from http://mediaget.com/)
16:44:50	161/161	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:50%20GMT	http://mediaget.com/images/newsAndBlog/vkIcon.png	D:/2/mediaget.com/images/newsAndBlog/vkIcon.png	(from http://mediaget.com/css/style.css?1430927629)
16:44:50	161/161	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:50%20GMT	http://mediaget.com/images/newsAndBlog/vkIconColor.png	D:/2/mediaget.com/images/newsAndBlog/vkIconColor.png	(from http://mediaget.com/css/style.css?1430927629)
16:44:51	161/161	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:50%20GMT	http://mediaget.com/images/newsAndBlog/twIcon.png	D:/2/mediaget.com/images/newsAndBlog/twIcon.png	(from http://mediaget.com/css/style.css?1430927629)
16:44:51	161/161	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:50%20GMT	http://mediaget.com/images/newsAndBlog/twIconColor.png	D:/2/mediaget.com/images/newsAndBlog/twIconColor.png	(from http://mediaget.com/css/style.css?1430927629)
16:44:51	161/161	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:50%20GMT	http://mediaget.com/images/newsAndBlog/okIcon.png	D:/2/mediaget.com/images/newsAndBlog/okIcon.png	(from http://mediaget.com/css/style.css?1430927629)
16:44:51	161/161	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:51%20GMT	http://mediaget.com/images/newsAndBlog/okIconColor.png	D:/2/mediaget.com/images/newsAndBlog/okIconColor.png	(from http://mediaget.com/css/style.css?1430927629)
16:44:51	161/161	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:51%20GMT	http://mediaget.com/images/newsAndBlog/mailIcon.png	D:/2/mediaget.com/images/newsAndBlog/mailIcon.png	(from http://mediaget.com/css/style.css?1430927629)
16:44:52	161/161	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:51%20GMT	http://mediaget.com/images/newsAndBlog/mailIconColor.png	D:/2/mediaget.com/images/newsAndBlog/mailIconColor.png	(from http://mediaget.com/css/style.css?1430927629)
16:44:52	161/161	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:51%20GMT	http://mediaget.com/images/newsAndBlog/googleIcon.png	D:/2/mediaget.com/images/newsAndBlog/googleIcon.png	(from http://mediaget.com/css/style.css?1430927629)
16:44:52	161/161	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:51%20GMT	http://mediaget.com/images/newsAndBlog/googleIconColor.png	D:/2/mediaget.com/images/newsAndBlog/googleIconColor.png	(from http://mediaget.com/css/style.css?1430927629)
16:44:52	260/260	---M--	200	added ('OK')	image/gif	etag:%225370b085-104%22	http://mediaget.com/images/vacancy_hot_bg.gif	D:/2/mediaget.com/images/vacancy_hot_bg.gif	(from http://mediaget.com/css/style.css?1430927629)
16:44:53	254/254	---M--	200	added ('OK')	image/gif	etag:%225370b085-fe%22	http://mediaget.com/images/vacancy_salary_bg.gif	D:/2/mediaget.com/images/vacancy_salary_bg.gif	(from http://mediaget.com/css/style.css?1430927629)
16:44:54	1264/1264	---M--	200	added ('OK')	image/png	etag:%225970b2f8-4f0%22	http://static.lanet.ua/images/block_ru/logo.png	D:/2/static.lanet.ua/images/block_ru/logo.png	(from http://vkontakte.ru/js/api/share.js?12)
16:44:55	3535/3535	---M--	200	added ('OK')	image/png	etag:%225970b2f8-dcf%22	http://static.lanet.ua/images/block_ru/185x185_ukrnet.png	D:/2/static.lanet.ua/images/block_ru/185x185_ukrnet.png	(from http://vkontakte.ru/js/api/share.js?12)
16:44:56	5685/5685	---M--	200	added ('OK')	image/png	etag:%225970b2f8-1635%22	http://static.lanet.ua/images/block_ru/185x185_Google.png	D:/2/static.lanet.ua/images/block_ru/185x185_Google.png	(from http://vkontakte.ru/js/api/share.js?12)
16:44:56	10118/10118	---M--	200	added ('OK')	image/png	etag:%225970b2f8-2786%22	http://static.lanet.ua/images/block_ru/185x185_EDisc.png	D:/2/static.lanet.ua/images/block_ru/185x185_EDisc.png	(from http://vkontakte.ru/js/api/share.js?12)
16:44:57	5376/5376	---M--	200	added ('OK')	image/png	etag:%225970b2f8-1500%22	http://static.lanet.ua/images/block_ru/185x185_Gmail.png	D:/2/static.lanet.ua/images/block_ru/185x185_Gmail.png	(from http://vkontakte.ru/js/api/share.js?12)
16:44:57	4220/4220	---M--	200	added ('OK')	image/png	etag:%225970b2f8-107c%22	http://static.lanet.ua/images/block_ru/185x185_GoogleDrive.png	D:/2/static.lanet.ua/images/block_ru/185x185_GoogleDrive.png	(from http://vkontakte.ru/js/api/share.js?12)
16:44:58	2875/2875	---M--	200	added ('OK')	image/png	etag:%225970b2f8-b3b%22	http://static.lanet.ua/images/block_ru/185x185_Facebook.png	D:/2/static.lanet.ua/images/block_ru/185x185_Facebook.png	(from http://vkontakte.ru/js/api/share.js?12)
16:44:58	4036/4036	---M--	200	added ('OK')	image/png	etag:%225970b2f8-fc4%22	http://static.lanet.ua/images/block_ru/185x185_Zillya.png	D:/2/static.lanet.ua/images/block_ru/185x185_Zillya.png	(from http://vkontakte.ru/js/api/share.js?12)
16:44:59	3185/3185	---M--	200	added ('OK')	image/png	etag:%225970b2f8-c71%22	http://static.lanet.ua/images/block_ru/185x185_Soundcloud.png	D:/2/static.lanet.ua/images/block_ru/185x185_Soundcloud.png	(from http://vkontakte.ru/js/api/share.js?12)
16:45:00	1372/1372	---M--	200	added ('OK')	image/png	etag:%225970b2f8-55c%22	http://static.lanet.ua/images/block_ru/185x185_Deezer.png	D:/2/static.lanet.ua/images/block_ru/185x185_Deezer.png	(from http://vkontakte.ru/js/api/share.js?12)
